Ano,Mes,Dia,Codigo do Item,Ordem de Producao,Horas Totais,Horas Paradas,Horas Efetivas,kg,t/h,Horas OE,Horas Disponiveis,Turno
2024,1,10,13951845,21401013,0.90,0.00,0.90,"22,380",24.87,0.00,0.90,2
2024,1,10,13951845,21402555,0.35,0.00,0.35,"7,440",21.26,0.00,0.35,2
2024,1,10,12424845,21376049,0.28,0.00,0.28,"2,925",10.32,0.00,0.28,2
2024,1,10,11863325,21400957,0.80,0.25,0.55,"17,957",22.45,0.25,0.80,2
2024,1,10,11906055,21395883,4.17,0.68,3.48,"112,080",26.90,0.68,3.90,2
2024,1,10,17008525,21400973,0.30,0.00,0.30,"2,040",6.80,0.00,0.30,2
2024,1,10,11911075,21395907,1.58,0.00,1.58,"37,500",23.68,0.00,1.58,2
2024,1,10,13931965,21400970,0.35,0.23,0.12,"3,000",8.57,0.23,0.12,2
2024,1,11,13931965,21400970,0.40,0.28,0.12,"3,000",7.50,0.28,0.23,1
2024,1,11,11863365,21400959,2.07,0.25,1.82,"47,730",23.10,0.25,2.07,1
2024,1,11,13841595,21400968,0.42,0.00,0.42,"6,180",14.83,0.00,0.42,1
2024,1,11,11862395,21400955,2.57,0.30,2.27,"82,680",32.21,0.30,2.57,1
2024,1,11,13849665,21400969,0.23,0.00,0.23,"6,300",27.00,0.00,0.23,1
2024,1,11,13961945,21400971,0.13,0.00,0.13,"2,700",20.25,0.00,0.13,1
2024,1,11,11856115,21403051,0.97,0.00,0.97,"30,300",31.34,0.00,0.97,1
2024,1,11,17170665,21401075,0.12,0.00,0.12,"3,000",25.71,0.00,0.12,1
2024,1,11,13849005,21402621,1.22,0.80,0.42,"16,500",13.56,0.80,1.22,1
2024,1,11,11863175,21385261,0.35,0.00,0.35,"5,400",15.43,0.00,0.35,1
2024,1,11,13950425,21401073,0.20,0.00,0.20,"1,500",7.50,0.00,0.20,1
2024,1,11,11863185,21384334,0.95,0.00,0.95,"30,000",31.58,0.00,0.95,1
2024,1,11,11863185,21384334,0.28,0.00,0.28,"10,170",35.89,0.00,0.28,2
2024,1,11,11863585,21399639,2.88,1.13,1.75,"65,490",22.71,1.13,2.55,2
2024,1,11,13824055,21402622,0.53,0.00,0.53,"16,380",30.71,0.00,0.53,2
2024,1,11,11862175,21374992,3.25,0.00,3.25,"122,820",37.79,0.00,3.25,2
2024,1,11,11867295,21408204,2.32,0.32,2.00,"72,450",31.27,0.32,2.00,2
2024,1,12,11867295,21408204,2.53,0.77,1.77,"82,680",32.64,0.77,2.37,1
2024,1,12,11867185,21374994,2.50,0.00,2.50,"78,090",31.24,0.00,2.50,1
2024,1,12,11863585,21408203,4.73,1.00,3.73,"141,960",29.99,1.00,3.73,1
2024,1,12,11863585,21408203,0.77,0.40,0.37,"13,710",17.88,0.40,0.77,2
2024,1,12,17138095,21401963,0.53,0.37,0.17,"6,600",12.38,0.37,0.17,2
2024,1,12,11867205,21413959,2.33,0.55,1.78,"74,850",32.08,0.55,2.33,2
2024,1,12,11862375,21376045,5.65,3.57,2.08,"84,000",14.87,3.57,5.32,2
2024,1,15,11862375,21376045,1.17,0.33,0.83,"28,020",24.02,0.33,0.83,1
2024,1,15,13849215,21415348,0.13,0.00,0.13,"1,500",11.25,0.00,0.13,1
2024,1,15,13849055,21415621,0.10,0.00,0.10,"1,470",14.70,0.00,0.10,1
2024,1,15,11906005,21400965,1.02,0.17,0.85,"27,073",26.63,0.17,1.02,1
2024,1,15,11863025,21415347,3.42,0.40,3.02,"123,060",36.02,0.40,3.42,1
2024,1,15,14388735,21415358,0.38,0.25,0.13,"6,275",16.37,0.25,0.38,1
2024,1,15,11863315,21400956,2.65,0.38,2.27,"82,470",31.12,0.38,2.43,1
2024,1,15,14240325,21415357,0.82,0.25,0.57,"10,590",12.97,0.25,0.82,1
2024,1,15,14213565,21422562,1.62,0.80,0.82,"26,850",16.61,0.80,1.62,2
2024,1,15,14022635,21417336,0.17,0.00,0.17,"3,030",18.18,0.00,0.17,2
2024,1,15,12663555,21415620,4.48,0.82,3.67,"112,410",25.07,0.82,4.08,2
2024,1,15,13542855,13542855,0.37,0.00,0.37,"7,860",21.44,0.00,0.37,2
2024,1,15,11860765,21426075,0.90,0.28,0.62,"22,100",24.56,0.28,0.90,2
2024,1,15,11860775,21423819,1.73,0.48,1.25,"37,500",21.63,0.48,1.42,2
2024,1,16,11863585,21415352,6.48,2.25,4.23,"156,840",24.19,2.25,6.32,1
2024,1,16,13848995,21425183,0.23,0.00,0.23,"6,000",25.71,0.00,0.23,1
2024,1,16,13848975,21413652,0.87,0.32,0.55,"15,000",17.31,0.32,0.55,1
2024,1,16,11869645,21415355,2.17,0.37,1.80,"63,000",29.08,0.37,2.17,1
2024,1,16,11869645,21415355,1.02,0.80,0.22,"11,940",11.74,0.80,0.60,2
2024,1,16,11863185,21430232,1.60,0.53,1.07,"37,320",23.33,0.53,1.07,2
2024,1,16,11867295,21415354,4.93,0.92,4.02,"155,820",31.59,0.92,4.93,2
2024,1,16,11867325,21425150,1.73,0.68,1.05,"31,020",17.90,0.68,1.42,2
2024,1,17,11867325,21425150,0.52,0.17,0.35,"14,010",27.12,0.17,0.35,1
2024,1,17,11869705,21430116,0.73,0.55,0.18,"7,530",10.27,0.55,0.73,1
2024,1,17,11863585,21415353,4.67,0.28,4.38,"155,940",33.42,0.28,4.38,1
2024,1,17,13849125,21433462,1.58,0.17,1.42,"43,500",27.47,0.17,1.58,1
2024,1,17,13735595,21439020,1.22,0.60,0.62,"15,120",12.43,0.60,1.22,1
2024,1,17,11862185,21415350,1.00,0.52,0.48,"12,000",12.00,0.52,0.65,1
2024,1,17,11862185,21415350,1.75,0.17,1.58,"70,170",40.10,0.17,1.75,2
2024,1,17,14348825,21426037,0.23,0.00,0.23,"4,950",21.21,0.00,0.23,2
2024,1,17,14022525,21426176,0.28,0.00,0.28,"4,500",15.88,0.00,0.28,2
2024,1,17,17029485,21426178,1.00,0.30,0.70,"15,000",15.00,0.30,1.00,2
2024,1,17,13171215,21439322,1.12,0.00,1.12,"22,560",20.20,0.00,1.12,2
2024,1,17,13951355,21431063,0.33,0.00,0.33,"8,970",26.91,0.00,0.33,2
2024,1,17,14348905,21426177,0.50,0.00,0.50,"11,875",23.75,0.00,0.50,2
2024,1,17,11863365,21441362,1.77,0.42,1.35,"32,970",18.66,0.42,1.77,2
2024,1,17,11861965,21426035,2.22,0.40,1.82,"49,500",22.33,0.40,1.98,2
2024,1,18,11861965,21426035,1.25,0.17,1.08,"32,340",25.87,0.17,1.08,1
2024,1,18,13296715,21431555,0.18,0.00,0.18,"4,410",24.05,0.00,0.18,1
2024,1,18,11906005,21415356,1.27,0.62,0.65,"27,000",21.32,0.62,1.27,1
2024,1,18,11911075,21431881,1.58,0.33,1.25,"33,180",20.96,0.33,1.58,1
2024,1,18,11862085,21439321,0.58,0.00,0.58,"22,170",38.01,0.00,0.58,1
2024,1,18,11914195,21441223,1.27,0.17,1.10,"15,660",12.36,0.17,1.27,1
2024,1,18,11862375,21447475,2.15,0.00,2.15,"82,230",38.25,0.00,2.15,1
2024,1,18,13986725,21441042,0.35,0.00,0.35,"7,530",21.51,0.00,0.35,1
2024,1,18,17227075,21433338,0.57,0.33,0.23,"3,060",5.40,0.33,0.57,1
2024,1,18,14022555,21440476,0.43,0.33,0.10,"6,000",13.85,0.33,0.43,1
2024,1,18,14022555,21440476,1.40,0.40,1.00,"31,320",22.37,0.40,1.13,2
2024,1,18,13935485,21447477,0.43,0.25,0.18,"13,470",31.08,0.25,0.18,2
2024,1,18,11862075,21447474,1.58,0.13,1.45,"45,030",28.44,0.13,1.58,2
2024,1,18,13849665,21447476,0.20,0.00,0.20,"4,170",20.85,0.00,0.20,2
2024,1,18,11862395,21448014,1.22,0.50,0.72,"21,030",17.28,0.50,0.72,2
2024,1,18,11862395,21448015,0.23,0.00,0.23,"4,530",19.41,0.00,0.23,2
2024,1,18,11863235,21448898,1.30,0.53,0.77,"22,470",17.28,0.53,1.30,2
2024,1,18,11862175,21433757,2.83,0.78,2.05,"78,000",27.53,0.78,2.43,2
2024,1,19,11862175,21433757,2.83,0.92,1.92,"78,480",27.70,0.92,2.43,1
2024,1,19,12680205,21449673,0.62,0.43,0.18,"1,020",1.65,0.43,0.18,1
2024,1,19,11863185,21449106,1.12,0.00,1.12,"37,920",33.96,0.00,1.12,1
2024,1,19,11863585,21433718,4.52,0.52,4.00,"156,210",34.59,0.52,4.52,1
2024,1,19,13848995,21455556,0.65,0.10,0.55,"21,000",32.31,0.10,0.65,1
2024,1,19,13848995,21455556,0.62,0.42,0.20,"5,880",9.54,0.42,0.62,2
2024,1,19,11869705,21449107,1.38,0.67,0.72,"22,530",16.29,0.67,1.38,2
2024,1,19,13849125,21455866,0.12,0.00,0.12,"1,500",12.86,0.00,0.12,2
2024,1,19,13824055,21455863,0.53,0.20,0.33,"10,440",19.58,0.20,0.53,2
2024,1,19,11867295,21433719,4.45,0.80,3.65,"151,140",33.96,0.80,4.45,2
2024,1,19,11862055,21455861,2.15,1.32,0.83,"42,900",19.95,1.32,1.42,2
2024,1,22,11862055,21455861,1.25,0.17,1.08,"39,600",31.68,0.17,1.08,1
2024,1,22,17025685,21456125,0.45,0.25,0.20,"3,000",6.67,0.25,0.20,1
2024,1,22,12842125,21456123,0.63,0.25,0.38,"15,090",23.83,0.25,0.63,1
2024,1,22,13931985,21455868,1.57,0.73,0.83,"29,220",18.65,0.73,1.57,1
2024,1,22,11862305,21464833,1.63,0.57,1.07,"27,330",16.73,0.57,1.63,1
2024,1,22,17017215,21455869,1.00,0.22,0.78,"12,840",12.84,0.22,0.78,1
2024,1,22,17015345,21456124,0.17,0.00,0.17,"3,330",19.98,0.00,0.17,1
2024,1,22,14022595,21455867,0.73,0.35,0.38,"14,940",20.37,0.35,0.73,1
2024,1,22,11860775,21464832,0.40,0.15,0.25,"7,375",18.44,0.15,0.25,1
2024,1,22,11906055,21433722,1.82,0.00,1.82,"60,000",33.03,0.00,1.82,1
2024,1,22,11906055,21433722,2.52,0.00,2.52,"89,940",35.74,0.00,2.52,2
2024,1,22,12916725,21455872,0.65,0.42,0.23,"7,440",11.45,0.42,0.65,2
2024,1,22,11862185,21466069,0.98,0.00,0.98,"41,070",41.77,0.00,0.98,2
2024,1,22,14240325,21467795,0.65,0.25,0.40,"14,880",22.89,0.25,0.65,2
2024,1,22,11862395,21415351,2.35,0.25,2.10,"82,200",34.98,0.25,2.35,2
2024,1,22,13935505,21455873,0.28,0.00,0.28,"3,060",10.80,0.00,0.28,2
2024,1,22,11862035,21433717,1.13,0.20,0.93,"37,500",33.09,0.20,1.13,2
2024,1,22,11906005,21433721,0.65,0.45,0.20,"10,500",16.15,0.45,0.42,2
2024,1,23,11906005,21433721,0.80,0.17,0.63,"16,562",20.70,0.17,0.63,1
2024,1,23,13792275,21467967,0.42,0.17,0.25,"5,370",12.89,0.17,0.42,1
2024,1,23,11862205,21466070,0.85,0.20,0.65,"22,320",26.26,0.20,0.65,1
2024,1,23,17017575,21466117,1.05,0.67,0.38,"5,940",5.66,0.67,1.05,1
2024,1,23,17178205,21467796,0.52,0.00,0.52,"12,000",23.23,0.00,0.52,1
2024,1,23,11862175,21456663,4.62,1.73,2.88,"117,150",25.38,1.73,3.62,1
2024,1,23,11867325,21466722,1.45,0.17,1.28,"48,360",33.35,0.17,1.45,1
2024,1,23,11867325,21466722,0.87,0.00,0.87,"29,700",34.27,0.00,0.87,2
2024,1,23,12680205,21467794,1.35,0.85,0.50,"15,150",11.22,0.85,0.88,2
2024,1,23,11867185,21456665,2.80,0.00,2.80,"117,060",41.81,0.00,2.80,2
2024,1,23,11867295,21456666,4.27,0.48,3.78,"155,970",36.56,0.48,3.95,2
2024,1,24,11863585,21455870,1.73,0.90,0.83,"31,110",17.95,0.90,1.57,1
2024,1,24,11862075,21476305,2.70,0.83,1.87,"58,110",21.52,0.83,1.87,1
2024,1,24,13931945,21476666,0.32,0.00,0.32,"6,840",21.60,0.00,0.32,1
2024,1,24,11863315,21476310,1.95,0.50,1.45,"41,250",21.15,0.50,1.95,1
2024,1,24,13951355,21482184,0.58,0.18,0.40,"15,000",25.71,0.18,0.40,1
2024,1,24,14022635,21476314,0.80,0.00,0.80,"22,440",28.05,0.00,0.80,1
2024,1,24,12842265,21476312,0.68,0.00,0.68,"22,560",33.01,0.00,0.68,1
2024,1,24,17025685,21468005,0.28,0.00,0.28,"2,925",10.32,0.00,0.28,1
2024,1,24,11862395,21476307,0.62,0.43,0.18,"9,900",16.05,0.43,0.62,1
2024,1,24,11862395,21476307,2.20,0.58,1.62,"72,420",32.92,0.58,2.20,2
2024,1,24,12842975,21476697,0.43,0.00,0.43,"8,970",20.70,0.00,0.43,2
2024,1,24,12842925,21476665,0.25,0.00,0.25,"4,470",17.88,0.00,0.25,2
2024,1,24,11906005,21476311,1.05,0.33,0.72,"27,000",25.71,0.33,1.05,2
2024,1,24,13952345,21482552,0.45,0.00,0.45,"10,440",23.20,0.00,0.45,2
2024,1,24,12663565,21431060,0.67,0.22,0.45,"14,940",22.41,0.22,0.67,2
2024,1,24,11860775,21476410,0.75,0.00,0.75,"22,125",29.50,0.00,0.75,2
2024,1,24,12462525,21455865,0.48,0.25,0.23,"5,970",12.35,0.25,0.48,2
2024,1,24,11862205,21426036,2.47,0.25,2.22,"82,500",33.45,0.25,2.47,2
2024,1,24,17229025,21476667,0.43,0.32,0.12,"1,320",3.05,0.32,0.12,2
2024,1,25,17229025,21476667,1.02,0.60,0.42,"11,550",11.36,0.60,0.58,1
2024,1,25,14022605,21476332,1.17,0.88,0.28,"19,440",16.66,0.88,1.17,1
2024,1,25,11863365,21482454,1.63,0.00,1.63,"40,710",24.92,0.00,1.63,1
2024,1,25,17229025,21489194,0.45,0.23,0.22,"4,500",10.00,0.23,0.22,1
2024,1,25,11863025,21484619,1.23,0.23,1.00,"42,780",34.69,0.23,1.00,1
2024,1,25,11862375,21484618,3.22,0.72,2.50,"82,620",25.68,0.72,2.92,1
2024,1,25,13952345,21489771,0.78,0.17,0.62,"13,560",17.31,0.17,0.78,1
2024,1,25,17170665,21484621,0.18,0.00,0.18,"6,600",36.00,0.00,0.18,1
2024,1,25,11862115,21491020,0.38,0.18,0.20,"6,000",15.65,0.18,0.38,2
2024,1,25,11863235,21484620,1.00,0.33,0.67,"22,380",22.38,0.33,1.00,2
2024,1,25,11867295,21482549,4.03,0.13,3.90,"156,600",38.83,0.13,4.03,2
2024,1,25,13735595,21491053,0.90,0.72,0.18,"7,530",8.37,0.72,0.52,2
2024,1,25,11867165,21484159,0.97,0.42,0.55,"22,560",23.34,0.42,0.55,2
2024,1,25,11863585,21482547,1.97,0.60,1.37,"53,040",26.97,0.60,1.73,2
2024,1,26,11863585,21482547,2.92,0.63,2.28,"103,410",35.45,0.63,2.75,1
2024,1,26,13824055,21491055,0.42,0.00,0.42,"14,970",35.93,0.00,0.42,1
2024,1,26,11867325,21482551,2.55,0.98,1.57,"78,060",30.61,0.98,2.35,1
2024,1,26,11860895,21482545,1.60,0.70,0.90,"37,650",23.53,0.70,1.60,1
2024,1,26,11867205,21498540,1.18,0.53,0.65,"22,500",19.01,0.53,1.18,1
2024,1,26,11862055,21498462,1.05,0.78,0.27,"4,500",4.29,0.78,0.27,1
2024,1,26,11862055,21498462,1.87,0.27,1.60,"70,290",37.66,0.27,1.87,2
2024,1,26,13947195,21498476,0.13,0.00,0.13,"3,030",22.73,0.00,0.13,2
2024,1,26,13947215,21498477,0.13,0.00,0.13,"3,030",22.73,0.00,0.13,2
2024,1,26,11862185,21498464,1.25,0.58,0.67,"26,880",21.50,0.58,1.25,2
2024,1,26,11862205,21501294,1.00,0.00,1.00,"41,250",41.25,0.00,1.00,2
2024,1,26,14022525,21498478,0.23,0.00,0.23,"3,030",12.99,0.00,0.23,2
2024,1,26,13296015,21498475,0.98,0.50,0.48,"14,940",15.19,0.50,0.98,2
2024,1,26,11862185,21501346,1.90,0.00,1.90,"82,500",43.42,0.00,1.90,2
2024,1,26,11906005,21498471,1.70,0.85,0.85,"26,904",15.83,0.85,1.30,2
2024,1,29,11862075,21498463,2.52,0.68,1.83,"74,880",29.75,0.68,2.35,1
2024,1,29,11863365,21498470,0.43,0.00,0.43,"7,470",17.24,0.00,0.43,1
2024,1,29,12663555,21498473,1.45,0.00,1.45,"37,500",25.86,0.00,1.45,1
2024,1,29,11862995,21498469,1.13,0.00,1.13,"40,860",36.05,0.00,1.13,1
2024,1,29,12474085,21498472,0.22,0.00,0.22,"3,000",13.85,0.00,0.22,1
2024,1,29,13296015,21504636,1.03,0.45,0.58,"15,030",14.55,0.45,1.03,1
2024,1,29,13171215,21504635,0.17,0.00,0.17,"3,030",18.18,0.00,0.17,1
2024,1,29,17163755,21498479,1.03,0.27,0.77,"26,850",25.98,0.27,1.03,1
2024,1,29,13986725,21504639,1.13,0.53,0.60,"15,030",13.26,0.53,0.85,1
2024,1,29,12945325,21504634,0.53,0.43,0.10,"4,500",8.44,0.43,0.53,1
2024,1,29,11862395,21498468,2.23,0.58,1.65,"82,350",36.87,0.58,2.07,2
2024,1,29,12916725,21498474,0.47,0.25,0.22,"7,470",16.01,0.25,0.47,2
2024,1,29,13952725,21504638,1.07,0.50,0.57,"14,880",13.95,0.50,0.57,2
2024,1,29,12663565,21508377,0.75,0.53,0.22,"7,440",9.92,0.53,0.75,2
2024,1,29,11862065,21507258,0.62,0.00,0.62,"19,950",32.35,0.00,0.62,2
2024,1,29,14240325,21504640,1.27,0.33,0.93,"22,470",17.74,0.33,1.27,2
2024,1,29,11862995,21508376,1.78,0.00,1.78,"45,000",25.23,0.00,1.78,2
2024,1,29,17171805,21508268,1.03,0.57,0.47,"21,630",20.93,0.57,0.72,2
2024,1,30,17171805,21508268,0.90,0.62,0.28,"8,520",9.47,0.62,0.73,1
2024,1,30,17229025,21508378,0.85,0.00,0.85,"26,880",31.62,0.00,0.85,1
2024,1,30,11867205,21499213,2.95,0.95,2.00,"75,390",25.56,0.95,2.48,1
2024,1,30,11869645,21499216,2.83,0.85,1.98,"75,120",26.51,0.85,2.83,1
2024,1,30,13849705,21499217,0.30,0.00,0.30,"1,500",5.00,0.00,0.30,1
2024,1,30,13848995,21504637,0.28,0.00,0.28,"7,440",26.26,0.00,0.28,1
2024,1,30,11869705,21504633,1.58,0.88,0.70,"30,000",18.95,0.88,1.58,1
2024,1,30,11869705,21504633,0.32,0.00,0.32,"7,500",23.68,0.00,0.32,2
2024,1,30,11867295,21499214,3.85,0.33,3.52,"155,910",40.50,0.33,3.85,2
2024,1,30,13849035,21509392,1.40,0.67,0.73,"31,410",22.44,0.67,1.40,2
2024,1,30,11867325,21498791,2.83,0.67,2.17,"78,000",27.53,0.67,2.83,2
2024,1,30,13735105,21515456,0.87,0.52,0.35,"7,530",8.69,0.52,0.55,2
2024,1,31,11863585,21499212,8.77,5.08,3.68,"155,970",17.79,5.08,8.60,1
2024,1,31,11867295,21523364,1.02,0.00,1.02,"34,320",33.76,0.00,1.02,1
2024,1,31,11867295,21523364,1.13,0.00,1.13,"43,560",38.44,0.00,1.13,2
2024,1,31,11862165,21516169,0.35,0.00,0.35,"7,500",21.43,0.00,0.35,2
2024,1,31,13824055,21523445,0.12,0.00,0.12,"3,000",25.71,0.00,0.12,2
2024,1,31,11862375,21499211,3.50,0.98,2.52,"122,910",35.12,0.98,3.50,2
2024,1,31,11861965,21511324,2.50,1.30,1.20,"41,250",16.50,1.30,2.50,2
2024,1,31,12474085,21511333,1.65,0.83,0.82,"22,500",13.64,0.83,1.42,2
2024,2,1,17027505,21518112,1.02,0.87,0.15,"6,150",6.05,0.87,0.67,1
2024,2,1,11863315,21511329,1.93,0.00,1.93,"82,590",42.72,0.00,1.93,1
2024,2,1,13951335,21518111,0.70,0.00,0.70,"22,830",32.61,0.00,0.70,1
2024,2,1,11863025,21511328,4.77,1.83,2.93,"123,660",25.94,1.83,3.77,1
2024,2,1,12663555,21511334,1.32,0.58,0.73,"24,000",18.23,0.58,1.05,1
2024,2,1,12663555,21511334,2.38,0.90,1.48,"51,060",21.42,0.90,2.38,2
2024,2,1,11863045,21518128,1.00,0.42,0.58,"27,070",27.07,0.42,1.00,2
